,Title,Genre,Time,Age,Actor,Area,Place,Period,Tag,URL
5877,뮤지컬 배쓰맨（BATHMAN）,뮤지컬,100분,만 14세이상,"김지철 (김영철), 한선천, 서동진, 이시후, 서승원, 최석진, 민정기, 김상협, 최미소, 김주호, 유은, 전태경",서울,드림아트센터 3관,2017.09.09 ~ 2017.11.26,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008988
5878,어린이베스트셀러뮤지컬〈콧구멍을 후비면〉- 인천,뮤지컬,50분,전체관람가,,인천시,인천 스퀘어원 4F 문화홀,2017.09.09 ~ 2017.10.09,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011416
5879,뮤지컬〈햄릿〉- 부산,뮤지컬,130분(인터미션:15분),만 7세이상,"서은광, 켄, 최서연, 김준현, 안유진, 전수미, 김승대, 에녹, 이상준, 백기범, 김유나, 김예진, 문경초",부산시,부산시민회관 대극장,2017.09.09 ~ 2017.09.10,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008275
5880,프린세스 공주뮤지컬쇼 - 양산,뮤지컬,500분,전체관람가,"박해미, 이소유(이정화), 남경주, 신성우, 서영주, 유준상, 김법래, 정영주, 배준성, 안재욱, 이건명, 이석준, 민영기, 김영주, 백주연, 오만석, 장대웅, 김소현, 신영숙, 엄기준",경남,서울 난지 한강공원,2017.09.16 ~ 2017.09.16,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010456
5881,패밀리쇼！어린이 뮤지컬〈핑크퐁과 상어가족〉-청주,뮤지컬,65분,12개월이상 관람가능,,충북,청주예술의전당 대공연장,2017.09.09 ~ 2017.09.10,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008529
5882,어린이뮤지컬 〈다이노코어〉 - 광주,뮤지컬,65분,12개월이상 관람가능,,광주시,광주5.18기념문화센터 민주홀,2017.09.09 ~ 2017.09.10,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008154
5883,뮤지컬〈정글북〉 - 성남,뮤지컬,80분,24개월이상 관람가능,,경기,성남아트센터 오페라하우스,2017.09.09 ~ 2017.09.10,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007915
5884,코코몽 뮤지컬〈꼼짝마 바이러스〉- 전주,뮤지컬,60분,24개월이상 관람가능,,전북,전북대학교 삼성문화회관,2017.09.09 ~ 2017.09.10,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008619
5885,(2017 어린이율동놀이뮤지컬) 호비쇼 - 대전,뮤지컬,60분,전체관람가,,대전시,대전 우송예술회관,2017.09.09 ~ 2017.09.10,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007584
5886,뮤지컬 헬로카봇 시즌3〈우당탕탕 집짓기 대작전〉 - 원주,뮤지컬,65분,24개월이상 관람가능,,강원,원주 백운아트홀,2017.09.09 ~ 2017.09.10,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009979
5887,가족뮤지컬 “렛잇고2” - 서울 광진,뮤지컬,65분,24개월이상 관람가능,,서울,나루아트센터 소공연장,2017.09.09 ~ 2017.09.10,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009297
5888,［부산 신세계］가족뮤지컬〈도깨비를 빨아버린 우리엄마〉,뮤지컬,60분,전체관람가,,부산시,신세계백화점 9층 문화홀,2017.09.09 ~ 2017.09.10,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009748
5889,“2017” 가족뮤지컬 겨울왕국 - 경산,뮤지컬,55분,전체관람가,,경북,경산시민회관 대공연장,2017.09.09 ~ 2017.09.09,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009678
5890,뮤지컬 갈라 콘서트 - 부산,뮤지컬,75분,만 7세이상,,부산시,해운대문화회관 해운홀,2017.09.09 ~ 2017.09.09,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011509
5891,［시흥］가족동물뮤지컬：워킹공룡애니멀매직쇼,뮤지컬,50분,전체관람가,,경기,KPU아트센터,2017.09.09 ~ 2017.09.09,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010403
5892,2017년 특선가족뮤지컬 “피노키오” - 안동,뮤지컬,60분,24개월이상 관람가능,,경북,안동시민회관 대공연장,2017.09.09 ~ 2017.09.09,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007051
5893,뮤지컬 브로드웨이 42번가 - 뮤지컬 클래스,뮤지컬,150분(인터미션:20분),만 7세이상,"김석훈, 이종혁, 최정원, 배해선, 전수경, 김경선, 오소연, 전예지, 에녹, 전재홍, 이호성, 김호, 호산, 조용수, 유승엽, 박규연, 강기연, 서지수, 김지연, 장보람",서울,디큐브아트센터,2017.09.06 ~ 2017.10.08,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011567
5894,국악아동뮤지컬 곰돌이의 여행 - 수원,뮤지컬,60분,24개월이상 관람가능,,경기,경기아트센터 소극장,2017.09.06 ~ 2017.09.09,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010106
5895,로맨틱코미디 뮤지컬 ［그대와 영원히］,뮤지컬,110분,만 12세이상,"이시후, 최민우, 이우진, 윤유경, 아린, 정다운, 임남정, 신동은, 황정용, 홍자영, 윤다흰, 서덕훈, 정열, 엄대현, 김의찬",서울,대학로 한성아트홀 2관,2017.09.05 ~ 2018.02.28,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011710
5896,어린이뮤지컬〈제비씨의 크리스마스〉-수원,뮤지컬,60분,36개월이상 관람가능,,경기,수원SK아트리움 대공연장,2017.09.04 ~ 2017.09.04,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011200
5897,가족뮤지컬 “렛잇고2” - 청주,뮤지컬,65분,24개월이상 관람가능,,충북,청주예술의전당 대공연장,2017.09.03 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009296
5898,［세종］가족동물뮤지컬：워킹공룡애니멀매직쇼,뮤지컬,50분,전체관람가,,충남,세종문화원,2017.09.03 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010546
5899,명작 가족 뮤지컬〈어린왕자의 꿈〉,뮤지컬,50분,24개월이상 관람가능,,서울,대학로 정보소극장,2017.09.02 ~ 2017.11.30,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011349
5900,2017 더 뮤지컬 페스티벌 인 갤럭시 - 일반티켓,콘서트,870분,전체관람가,"최정원, 김선영, 윤공주, 카이, 한지상, 아이비, 송용진, 정원영, 최민철, 김호영, 육현욱, 서경수, 이상이, 문종원, 김대종, 고상호, 김지철 (김영철), 김현진, 손유동, 송유택",서울,서울 올림픽 공원 88잔디마당,2017.09.09 ~ 2017.09.10,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011430
5901,어린이뮤지컬 〈신비아파트〉 - 부산,뮤지컬,65분,24개월이상 관람가능,,부산시,부산 KBS홀,2017.09.02 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009774
5902,［대구］ 패밀리쇼! 어린이 뮤지컬 〈핑크퐁과 상어가족〉,뮤지컬,65분,전체관람가,,대구시,대구아양아트센터,2017.09.02 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008425
5903,뮤지컬 헬로카봇 시즌3〈우당탕탕 집짓기 대작전〉- 군산,뮤지컬,60분,24개월이상 관람가능,,전북,군산예술의전당 대공연장,2017.09.02 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009697
5904,뮤지컬〈정글북〉- 인천,뮤지컬,80분,12개월이상 관람가능,,인천시,인천문화예술회관 대공연장,2017.09.02 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007380
5905,가족뮤지컬 “신데렐라” - 창원,뮤지컬,55분,24개월이상 관람가능,,경남,창원 3.15아트센터 소극장,2017.09.02 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008764
5906,어린이 라이브 뮤지컬〈리틀캣〉 - 부산,뮤지컬,60분,전체관람가,,부산시,부산시민회관 소극장,2017.09.02 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007802
5907,어린이뮤지컬［다이노코어］- 포항,뮤지컬,65분,24개월이상 관람가능,,경북,포항문화예술회관 대공연장,2017.09.02 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007827
5908,［광주］가족뮤지컬〈출동! 슈퍼윙스〉,뮤지컬,60분,전체관람가,,광주시,광주문화예술회관 소극장,2017.09.02 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010052
5909,(2017 어린이율동놀이뮤지컬) 호비쇼 - 서산,뮤지컬,60분,전체관람가,,충남,서산문화회관 대공연장,2017.09.02 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007587
5910,〈아름다운 기부콘서트〉 마이 오페라 마이 뮤지컬,클래식/오페라,120분(인터미션:20분),미취학아동입장불가,"권서경, 고은성, 듀에토",서울,롯데콘서트홀,2017.09.02 ~ 2017.09.02,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008982
5911,The 뮤지컬 스타 3-천안,뮤지컬,90분,미취학아동입장불가,"김소현, 최정원, 카이, 손준호",충남,천안예술의전당 대공연장,2017.09.02 ~ 2017.09.02,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009699
5912,뮤지컬갈라콘서트,콘서트,85분,만 5세이상,,서울,동서울아트홀,2017.09.02 ~ 2017.09.02,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010485
5913,“2017” 가족뮤지컬 겨울왕국 - 양산,뮤지컬,55분,전체관람가,,경남,웅상문화체육센터 공연장,2017.09.02 ~ 2017.09.02,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009741
5914,［문경］가족동물뮤지컬：워킹공룡애니멀매직쇼,뮤지컬,50분,전체관람가,,경북,문희아트홀,2017.09.02 ~ 2017.09.02,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010562
5915,가족뮤지컬 “렛잇고2” - 경산,뮤지컬,65분,24개월이상 관람가능,,대구시,천마아트센터 챔버홀,2017.09.02 ~ 2017.09.02,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009295
5916,2017 가족뮤지컬 “피노키오” - 제천,뮤지컬,60분,전체관람가,,충북,제천문화회관 대공연장,2017.09.02 ~ 2017.09.02,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010598
5917,가족뮤지컬 신데렐라,뮤지컬,60분,전체관람가,,서울,대학로 명작극장 ( 구 ‘아츠플레이 씨어터’ ),2017.09.01 ~ 2017.12.31,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010507
5918,가족뮤지컬 헨젤과 그레텔,뮤지컬,60분,전체관람가,,서울,대학로 명작극장 ( 구 ‘아츠플레이 씨어터’ ),2017.09.01 ~ 2017.09.30,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010495
5919,뮤지컬〈햄릿〉- 대구,뮤지컬,130분(인터미션:15분),만 7세이상,"이지훈, 신우, 켄, 이정화, 최서연, 민영기, 김준현, 안유진, 전수미, 김승대, 에녹, 이상준, 백기범, 김유나, 문경초, 김예진",대구시,계명아트센터,2017.09.01 ~ 2017.09.03,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009024
5920,2017 서울 스타라이트 뮤지컬 페스티벌,콘서트,870분,만 12세이상,"김진철, 김다솜, 김광섭",서울,성수아트홀,2017.09.02 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010264
5921,어린이베스트셀러뮤지컬 ‘책먹는여우’ - 인천,뮤지컬,53분,24개월이상 관람가능,,인천시,인천문화예술회관 소공연장,2017.09.01 ~ 2017.09.02,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007307
5922,뮤지컬 〈서편제〉,뮤지컬,150분(인터미션:20분),만 7세이상,"이자람, 차지연, 이소연, 강필석, 김재범, 박영수, 이정열, 서범석, 주홍균, 나소현, 조환지, 김효성",서울,광림아트센터 BBCH홀,2017.08.30 ~ 2017.11.05,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009176
5923,뮤지컬 틱틱붐,뮤지컬,120분,만 7세이상,"이석준, 이건명, 배해선, 정연, 성기윤, 조순창, 오종혁, 문성일",서울,대학로 TOM(티오엠) 1관,2017.08.29 ~ 2017.10.15,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009972
5924,뮤지컬 〈빌리 엘리어트〉- ‘빌리지 입주민’ 모집,뮤지컬,,미취학아동입장불가,,서울,디큐브아트센터,2017.08.28 ~ 2017.09.03,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011345
5925,가족뮤지컬 “렛잇고” - 파주,뮤지컬,60분,24개월이상 관람가능,,경기,파주 운정행복센터 공연장,2017.08.27 ~ 2017.08.27,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008697
5926,［영천］가족동물뮤지컬：워킹공룡애니멀매직쇼,뮤지컬,50분,전체관람가,,경북,영천시민회관 스타홀,2017.08.27 ~ 2017.08.27,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009417
5927,“2017” 가족뮤지컬 신데렐라 - 충주,뮤지컬,55분,전체관람가,,충북,충주 호암예술관,2017.08.27 ~ 2017.08.27,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009656
5928,어린이뮤지컬［다이노코어］- 창원,뮤지컬,65분,24개월이상 관람가능,,경남,창원 성산아트홀 대극장,2017.08.26 ~ 2017.08.27,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007842
5929,(2017 어린이율동놀이뮤지컬) 호비쇼 - 경기광주,뮤지컬,60분,전체관람가,,경기,남한산성아트홀 소극장,2017.08.26 ~ 2017.08.27,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008043
5930,여름방학 특선가족뮤지컬 “인어공주” - 강릉,뮤지컬,60분,24개월이상 관람가능,,강원,강릉문화원,2017.08.26 ~ 2017.08.27,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010062
5931,“2017” 가족뮤지컬 겨울왕국 - 대전,뮤지컬,55분,전체관람가,,대전시,대덕구청소년수련관,2017.08.26 ~ 2017.08.26,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009712
5932,어린이베스트셀러뮤지컬 ‘책먹는여우’ - 익산,뮤지컬,55분,24개월이상 관람가능,,전북,익산예술의전당 대공연장,2017.08.26 ~ 2017.08.26,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17006789
5933,3D가족뮤지컬 이상한나라의 앨리스 - 청주,뮤지컬,60분,24개월이상 관람가능,,충북,청주예술의전당 대공연장,2017.08.26 ~ 2017.08.26,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008506
5934,가족뮤지컬〈우리 아빠가 최고야〉- 부산,뮤지컬,55분,전체관람가,,부산시,을숙도문화회관 대공연장,2017.08.26 ~ 2017.08.26,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007804
5935,［경산］가족동물뮤지컬 : 워킹공룡애니멀매직쇼,뮤지컬,50분,전체관람가,,경북,경산시민회관 대공연장,2017.08.26 ~ 2017.08.26,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007295
5936,명작뮤지컬 “인어공주” - 청주,뮤지컬,60분,12개월이상 관람가능,,충북,청주아트홀(구.청주시민회관),2017.08.26 ~ 2017.08.26,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009293
5937,가족뮤지컬 “렛잇고” - 김포,뮤지컬,60분,24개월이상 관람가능,,경기,통진두레문화센터 두레홀,2017.08.26 ~ 2017.08.26,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008707
5938,뮤지컬〈쿵짝〉,뮤지컬,90분,만 7세이상,"박한들, 조현식, 김지혜, 김대웅",서울,동숭아트센터 동숭소극장,2017.08.25 ~ 2017.09.30,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010270
5939,인형뮤지컬 황소탈,연극,46분,24개월이상 관람가능,,서울,창동극장,2017.08.25 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011130
5940,［뮤지컬-텔로미어］2017 제4회 대한민국 신진연출가전,뮤지컬,100분,만 12세이상,"이지훈, 켄, 최서연, 김준현, 전수미, 김승대, 에녹, 이상준, 백기범, 김유나, 김예진, 문경초",서울,성남아트센터 오페라하우스,2017.09.01 ~ 2017.09.03,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008968
5941,뮤지컬 루나틱-목포,뮤지컬,100분,만 7세이상,,전남,목포문화예술회관,2017.08.25 ~ 2017.08.26,판매종료좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009771
5942,뮤지컬〈벤허〉,뮤지컬,160분(인터미션:20분),만 7세이상,"유준상, 박은태, 카이, 박민성, 민우혁, 최우혁, 아이비, 안시하, 남경읍, 이희정, 서지영, 김성기, 이정수, 선한국, 곽나윤, 이윤우, 이지훈, 백시호, 선재, 황장호",서울,충무아트센터 대극장,2017.08.24 ~ 2017.10.29,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008577
5943,뮤지컬〈벤허〉 공연예매권,뮤지컬,170분(인터미션:20분),만 7세이상,,서울,충무아트센터 대극장,2017.08.24 ~ 2017.10.22,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010874
5944,어린이뮤지컬 “정글북”-서울금천,뮤지컬,55분(인터미션:5분),전체관람가,,서울,"빅마켓(구,롯데마트 금천점)3층 레미어린이극장",2017.08.23 ~ 2017.09.17,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010951
5945,어린이뮤지컬 “토이스토리의 원작 장난감병정” - 광주,뮤지컬,60분,전체관람가,,광주시,롯데마트 월드컵점(풍암동) 3층 레미 어린이극장,2017.08.23 ~ 2017.09.17,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010926
5946,어린이뮤지컬 “브레멘음악대” - 광주,뮤지컬,60분,전체관람가,,광주시,롯데마트 수완점 (장덕동)4층 레미어린이극장,2017.08.23 ~ 2017.09.17,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011122
5947,어린이 뮤지컬“알라딘과 요술램프”- 대전,뮤지컬,60분,전체관람가,,대전시,조이마루아트홀,2017.08.23 ~ 2017.09.17,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17011004
5948,어린이 뮤지컬 “헨젤과 그레텔” - 대전,뮤지컬,60분,전체관람가,,대전시,갤러리아 타임월드 10층 공연장,2017.08.23 ~ 2017.09.17,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010879
5949,어린이뮤지컬 “피터와 늑대” - 울산,뮤지컬,55분,전체관람가,,울산시,울산 레미어린이극장,2017.08.23 ~ 2017.09.17,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010807
5950,뮤지컬 왕초품바 - 여수,뮤지컬,90분,전체관람가,,전남,파도소리 소극장,2017.08.21 ~ 2017.09.30,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010625
5951,“2017” 가족뮤지컬 인어공주 - 김해,뮤지컬,55분,전체관람가,,경남,장유문화센터,2017.08.20 ~ 2017.08.20,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009659
5952,뮤지컬〈엉뚱발랄 콩순이：엄마편〉 - 청주,뮤지컬,70분,12개월이상 관람가능,,충북,청주예술의전당 대공연장,2017.08.19 ~ 2017.08.20,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008216
5953,뮤지컬 소피루비〈샤르르 마을의 대축제〉- 수원,뮤지컬,70분,24개월이상 관람가능,,경기,경기도문화의전당 대극장,2017.08.19 ~ 2017.08.20,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007660
5954,코코몽 뮤지컬〈꼼짝마 바이러스〉- 대구,뮤지컬,60분,24개월이상 관람가능,,대구시,대구아양아트센터,2017.08.19 ~ 2017.08.20,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17006883
5955,가족뮤지컬 앤서니브라운의〈돼지책〉 - 창원,뮤지컬,55분,전체관람가,,경남,창원 성산아트홀 소극장,2017.08.19 ~ 2017.08.20,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007638
5956,어린이뮤지컬［다이노코어］- 대구,뮤지컬,65분,24개월이상 관람가능,,대구시,대구 엑스코 오디토리움,2017.08.19 ~ 2017.08.20,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007828
5957,싱어롱 콘서트 뮤지컬 “무지개 물고기” - 거제,뮤지컬,60분,24개월이상 관람가능,,경남,거제시청소년수련관,2017.08.19 ~ 2017.08.20,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008421
5958,여름방학 ‘수박 SU-VAC 프로젝트’ - 뮤지컬 종이아빠,뮤지컬,55분,36개월이상 관람가능,,서울,꿈의숲 아트센터 퍼포먼스홀,2017.08.19 ~ 2017.08.20,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008781
5959,(2017 어린이율동놀이뮤지컬) 호비쇼 - 안양,뮤지컬,60분,전체관람가,,경기,안양아트센터 수리홀,2017.08.19 ~ 2017.08.20,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17006527
5960,뮤지컬〈햄릿〉- 성남,뮤지컬,130분(인터미션:15분),만 7세이상,,경기,대구어린이회관 꾀꼬리극장,2017.08.25 ~ 2017.08.27,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008572
5961,윤학 클래식 뮤지컬 〈첫사랑〉,뮤지컬,120분(인터미션:15분),만 7세이상,,서울,흰물결아트센터,2017.08.19 ~ 2017.08.19,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008159
5962,［김해］가족동물뮤지컬 : 워킹공룡애니멀매직쇼,뮤지컬,50분,24개월이상 관람가능,,경남,김해문화의전당 누리홀,2017.08.19 ~ 2017.08.19,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007286
5963,“2017년” 가족뮤지컬 인어공주 - 안동,뮤지컬,50분,전체관람가,,경북,안동시민회관 소공연장,2017.08.19 ~ 2017.08.19,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007970
5964,프린세스 공주 뮤지컬쇼 - 경주,뮤지컬,60분,24개월이상 관람가능,,경북,경주서라벌문화회관,2017.08.19 ~ 2017.08.19,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17006042
5965,가족뮤지컬 “인어공주” - 대구,뮤지컬,60분,24개월이상 관람가능,,대구시,달성문화원,2017.08.19 ~ 2017.08.19,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008819
5966,3D가족뮤지컬 이상한 나라의 앨리스 - 광주,뮤지컬,60분,24개월이상 관람가능,,광주시,광주5.18기념문화센터 민주홀,2017.08.19 ~ 2017.08.19,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009016
5967,"뮤지컬 ‘별의 여인,선덕’ - 태백",뮤지컬,150분,만 7세이상,,강원,태백문화예술회관 대공연장,2017.08.19 ~ 2017.08.19,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17009739
5968,뮤지컬〈헤드윅〉,뮤지컬,130분,만 15세이상,"오만석, 유연석, 마이클 리, 정문성, 조형균, 전혜선, 제이민, 유리아, 김민기, ZAKKY, 이준",서울,홍익대 대학로 아트센터 대극장,2017.08.18 ~ 2017.11.05,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008791
5969,뮤지컬〈키다리 아저씨〉- 대구,뮤지컬,135분(인터미션:15분),만 7세이상,"임혜영, 강지혜, 신성록, 송원근, 강동호",대구시,봉산문화회관 가온홀,2017.08.18 ~ 2017.09.03,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008515
5970,어린이옴니버스뮤지컬 〈아이러브 프린세스〉 - 용인,뮤지컬,50분,24개월이상 관람가능,,경기,용인시 여성회관 큰어울마당,2017.08.18 ~ 2017.08.19,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010740
5971,뮤지컬 〈앤ANNE〉,뮤지컬,95분,만 12세이상,임찬민,서울,CJ아지트 대학로,2017.08.17 ~ 2017.08.31,판매종료단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17010139
5972,“2017년” 가족뮤지컬 인어공주,뮤지컬,50분,전체관람가,,서울,강서구민회관 우장홀,2017.08.15 ~ 2017.08.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17007501
5973,가족뮤지컬 〈인어공주〉 - 안산,뮤지컬,55분,전체관람가,,경기,안산 올림픽기념관 공연장,2017.08.15 ~ 2017.08.15,판매종료,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17008289
