,Title,Genre,Time,Age,Actor,Area,Place,Period,Tag,URL
42,뮤지컬 창업,뮤지컬,110분,초등학생이상 관람가,"서범석, 김현수, 강민석, 곽동현, 노태현, 재윤, 김동형, 정현우, 최정훈, 박상돈, 박한근, 강동우, 아리현, 이하정, 김수민, 장대성, 박근식, 이지명, 신민기, 한지혜",서울,SH아트홀,2021.08.27 ~ 2022.01.02,판매중단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21006998
43,시크릿쥬쥬 별의여신 뮤지컬 시즌2-부평,뮤지컬,70분,24개월이상 관람가능,,인천시,부평아트센터 해누리 극장,2021.12.18 ~ 2021.12.19,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011289
44,［부산］번개맨 뮤지컬 : 검은 번개맨의 정체는？ 앵콜,뮤지컬,65분,24개월이상 관람가능,,부산시,부산문화회관 대극장,2022.01.08 ~ 2022.01.09,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011835
45,뮤지컬〈엑스칼리버〉 - 성남,뮤지컬,160분(인터미션:20분),8세이상 관람가능,"김준수, 카이, 서은광, 에녹, 강태을, 민영기, 손준호, 최서연, 이봄소리, 이상준, 이종문, 홍경수",경기,성남아트센터 오페라하우스,2021.12.11 ~ 2021.12.12,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010697
46,가족뮤지컬〈고고다이노 공룡대탐험〉 - 구미,뮤지컬,65분,전체관람가,,경북,강동문화복지회관 천생아트홀,2021.12.25 ~ 2021.12.26,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008840
47,뮤지컬 〈웨딩플레이어〉,뮤지컬,90분,만 8세이상,"정연, 최유하, 이시강, 김지훈",서울,대학로 바탕골 소극장,2021.09.28 ~ 2021.12.26,판매중단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007180
48,NEW신비아파트 뮤지컬 시즌4：비명동산의 초대장 - 부천,뮤지컬,70분,24개월이상 관람가능,,경기,부천 시민회관 대공연장,2021.12.18 ~ 2021.12.19,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010563
49,뮤지컬 〈헤드윅〉 - 인천,뮤지컬,135분,만 15세이상,"오만석, 고은성, 렌, 이영미, 김려원, 제이민",인천시,인천문화예술회관 대공연장,2021.12.04 ~ 2021.12.05,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010407
50,가족라이브 뮤지컬 〈미녀와 야수〉 - 대전,뮤지컬,60분,전체관람가,,대전시,대전평송청소년문화센터 소극장,2021.12.25 ~ 2021.12.26,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009867
51,가족뮤지컬 〈꼬마버스 타요〉 - 창원,뮤지컬,65분,12개월이상 관람가능,,경남,3.15아트센터 대극장,2021.12.25 ~ 2021.12.26,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010366
52,뮤지컬 〈엑스칼리버〉 - 대구,뮤지컬,160분(인터미션:20분),8세이상 관람가능,"김준수, 카이, 서은광, 이지훈, 강태을, 신영숙, 장은아, 민영기, 손준호, 최서연, 이봄소리, 이상준, 이종문, 홍경수",대구시,계명아트센터,2021.12.04 ~ 2021.12.05,판매중좌석우위,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010794
53,패밀리뮤지컬 헤이지니＆럭키강이 시즌2 “비밀의 문” - 고양,뮤지컬,65분,24개월이상 관람가능,,경기,고양어울림누리 어울림극장,2021.12.04 ~ 2021.12.05,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008834
54,뮤지컬 〈앤ANNE〉,뮤지컬,105분,만 5세이상,,서울,브릭스씨어터,2021.11.27 ~ 2022.01.23,판매중단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011182
55,［쇼뮤지컬］캐리와친구들2022-군포,뮤지컬,65분,24개월이상 관람가능,,경기,군포문화예술회관 수리홀,2021.12.11 ~ 2021.12.12,판매중단독판매,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008685
56,발레 뮤지컬 동화 인형 발레극 호두까기 인형 - 안양,무용/전통예술,70분,36개월이상 관람가능,,경기,평촌아트홀,2021.12.29 ~ 2021.12.29,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011947
57,“2021년” 가족뮤지컬 겨울이야기 - 제천,뮤지컬,55분,전체관람가,,충북,제천문화회관 대공연장,2021.12.04 ~ 2021.12.04,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011529
58,패밀리뮤지컬 헤이지니＆럭키강이 시즌2 “비밀의 문” - 대구,뮤지컬,65분,20개월이상 관람가능,,대구시,대구 엑스코 오디토리움,2022.01.15 ~ 2022.01.16,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21007171
59,뮤지컬 〈시카고〉 - 성남,뮤지컬,145분(인터미션:20분),14세 이상 관람가,"최정원, 윤공주, 아이비, 티파니 영, 민경아, 박건형, 최재림, 김영주, 김경선, 차정현, S.J. KIM",경기,성남아트센터 오페라하우스,2021.12.03 ~ 2021.12.05,판매중,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010573
