,Title,Area,Period,URL
59,뮤지컬 〈시카고〉 - 진주,경남,2022.01.14 ~ 2022.01.16,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011715
60,［부산］번개맨 뮤지컬 : 검은 번개맨의 정체는？ 앵콜,부산시,2021.12.04 ~ 2021.12.05,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009586
61,가족뮤지컬 〈고고다이노 공룡대탐험〉 - 대구,대구시,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010908
62,뮤지컬 〈블랙메리포핀스〉,서울,2021.11.02 ~ 2021.11.28,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009117
63,NEW신비아파트 뮤지컬 시즌4：비명동산의 초대장－부산 앵콜,부산시,2021.11.27 ~ 2021.11.28,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008731
64,패밀리뮤지컬 헤이지니＆럭키강이 시즌2 “비밀의 문” - 창원,경남,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010081
65,2021 가족라이브 뮤지컬 〈라푼젤〉 - 대구,대구시,2021.12.11 ~ 2021.12.12,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21009583
66,2021 가족라이브 뮤지컬 〈겨울이야기〉포항(앵콜),경북,2021.12.18 ~ 2021.12.19,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008819
67,가족뮤지컬 크리스마스 캐롤 - 안성,경기,2021.12.18 ~ 2021.12.18,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010746
68,시크릿쥬쥬 별의여신 뮤지컬 시즌2 - 춘천,강원,2021.12.25 ~ 2021.12.26,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21010765
69,어린이베스트셀러 뮤지컬 〈누가 내머리에 똥쌌어？〉 - 대전,대전시,2021.12.05 ~ 2021.12.05,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008768
70,［쇼뮤지컬］캐리와친구들2022-군포,경기,2021.12.11 ~ 2021.12.12,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21008685
71,발레 뮤지컬 동화 인형 발레극 호두까기 인형 - 안양,경기,2021.12.29 ~ 2021.12.29,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011947
72,2022 라이브 가족뮤지컬 〈알라딘〉- 대구,대구시,2022.02.19 ~ 2022.02.20,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012122
73,가족뮤지컬 〈출동! 슈퍼윙스 : 빅콘서트〉 - 원주,강원,2022.02.05 ~ 2022.02.06,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012099
74,가족뮤지컬 겨울이야기 (해운대),부산시,2022.02.05 ~ 2022.02.05,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012264
75,2022 라이브 가족뮤지컬 〈미녀와야수〉 - 대구,대구시,2022.01.29 ~ 2022.01.30,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012123
76,(2022 용인) 가족라이브 뮤지컬 〈신데렐라〉,경기,2022.01.29 ~ 2022.01.29,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011791
77,［군포］ 싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉,경기,2022.01.22 ~ 2022.01.23,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012216
78,가족뮤지컬〈고고다이노 공룡대탐험〉 - 울산,울산시,2022.01.22 ~ 2022.01.23,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012203
79,(청주)2022가족뮤지컬 어린이캣,충북,2022.01.16 ~ 2022.01.16,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012171
80,2021 가족라이브 뮤지컬 〈어린이캣〉－대구,대구시,2021.12.04 ~ 2021.12.05,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011783
81,가족뮤지컬 〈출동! 슈퍼윙스 : 빅콘서트〉 - 울산,울산시,2022.01.15 ~ 2022.01.16,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011713
82,2022 가족라이브 뮤지컬 〈백설공주〉 - 부산,부산시,2022.01.15 ~ 2022.01.15,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011298
83,가족뮤지컬 겨울이야기 (수원),경기,2022.01.15 ~ 2022.01.15,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21012231
84,어린이뮤지컬 ‘ 렛잇고2 ’ - 파주,경기,2022.01.08 ~ 2022.01.09,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=21011376
