,Title,Genre,Place,Time,Age,Period,TicketCast,Like_man,Like_woman,Like_age_10,Like_age_20,Like_age_30,Like_age_40,Like_age_50,URL,Status
6736,패밀리쇼! 뮤지컬〈캐리와 장난감 친구들〉- 안산,뮤지컬,안산문화예술의전당 해돋이극장(자세히),2017.01.07 ~2017.01.08,24개월이상 관람가능,2017.01.07 ~2017.01.08,12,27.6%,72.4%,0.5%,7.3%,74.9%,15.1%,1.5%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014337,판매종료
6737,뮤지컬 헬로카봇 시즌2 〈카봇구조대〉 - 청주,뮤지컬,청주예술의전당 대공연장(자세히),2017.01.07 ~2017.01.08,12개월이상 관람가능,2017.01.07 ~2017.01.08,8,22%,78%,0%,10.6%,81.3%,7.1%,0.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014306,판매종료
6738,가족뮤지컬 “렛잇고” - 대구,뮤지컬,대구아양아트센터(자세히),2017.01.07 ~2017.01.08,24개월이상 관람가능,2017.01.07 ~2017.01.08,1,18.7%,81.3%,0%,0.9%,86.9%,12.1%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014998,판매종료
6739,프린세스 공주 뮤지컬 쇼 - 제주,뮤지컬,제주문예회관 대극장(자세히),2017.01.07 ~2017.01.08,24개월이상 관람가능,2017.01.07 ~2017.01.08,1,23.2%,76.8%,2.1%,6.3%,66.3%,24.2%,0.5%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014498,판매종료
6740,가족뮤지컬 “렛잇고” - 오산,뮤지컬,오산문화예술회관 대공연장(자세히),2017.01.14 ~2017.01.15,24개월이상 관람가능,2017.01.14 ~2017.01.15,2,17.9%,82.1%,0%,6.6%,81.1%,10.4%,1.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014450,판매종료
6741,블록버스터 라이브액션뮤지컬 손오공 - 수원,뮤지컬,경기아트센터 소극장(자세히),2017.01.07 ~2017.01.08,24개월이상 관람가능,2017.01.07 ~2017.01.08,,20%,80%,0%,0%,50%,30%,10%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015141,판매종료
6742,가족뮤지컬 신데렐라 - 익산,뮤지컬,익산예술의전당 대공연장(자세히),2017.01.07,24개월이상 관람가능,2017.01.07,2,16.2%,83.8%,0%,4.8%,84.8%,10.5%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014963,판매종료
6743,［안동］가족동물뮤지컬：워킹공룡애니멀매직쇼,뮤지컬,안동시민회관 소공연장(자세히),2017.01.07,전체관람가,2017.01.07,,15.2%,84.8%,0%,9.1%,81.8%,9.1%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015458,판매종료
6744,2017년 가족뮤지컬 “신데렐라” - 천안,뮤지컬,천안시민문화여성회관 신부분관(자세히),2017.01.07,24개월이상 관람가능,2017.01.07,,26.5%,73.5%,0%,7.4%,79%,13.6%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16014778,판매종료
6745,“2017” 특선가족뮤지컬 오즈의 마법사 - 춘천,뮤지컬,춘천인형극장 대극장(자세히),2017.01.07,전체관람가,2017.01.07,,23.2%,76.8%,0%,0%,79.7%,18.8%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015671,판매종료
6746,2017 뮤지컬 〈시크릿쥬쥬 시즌2 - 요정의 매직콘서트〉,뮤지컬,소월아트홀(자세히),2017.01.06 ~2017.01.30,24개월이상 관람가능,2017.01.06 ~2017.01.30,19,22.5%,77.5%,0.1%,3.1%,76.7%,19.2%,0.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015192,판매종료
6747,뮤지컬 산복도로 - 부산(동서대학교),뮤지컬,동서대학교 센텀소향실험극장(자세히),2017.01.06 ~2017.01.08,전체관람가,2017.01.06 ~2017.01.08,1,80%,20%,0%,20%,20%,20%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015194,판매종료
6748,뮤지컬배우 강연종 Musical World Tour - 대전,클래식/오페라,대전예술의전당 앙상블홀(자세히),2017.01.06,만 8세이상,2017.01.06,,25%,75%,0%,25%,0%,75%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=16015527,판매종료
6749,뮤지컬〈작업의 정석〉- 대학로,뮤지컬,대학로 아트포레스트 2관(자세히),2017.01.05 ~오픈런,만 13세이상,2017.01.05 ~오픈런,21,35.1%,64.9%,1.8%,50%,22.8%,18.4%,7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19018301,판매종료
6750,뮤지컬〈작업의 정석〉,뮤지컬,대학로 아트포레스트 2관(자세히),2017.01.05 ~오픈런,만 13세이상,2017.01.05 ~오픈런,19,38.4%,61.6%,6.1%,39.3%,29.9%,16.9%,6.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=17016393,판매종료
