,Title,Genre,Place,Time,Age,Period,TicketCast,Like_man,Like_woman,Like_age_10,Like_age_20,Like_age_30,Like_age_40,Like_age_50,URL,Status
3128,온가족이 함께하는 전래동화 어린이 뮤지컬 「뚝딱하니 어흥!」 - 연천,뮤지컬,연천수레울아트홀 대공연장(자세히),2019.05.16,24개월이상 관람가능,2019.05.16,,100%,0%,0%,0%,0%,0%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005596,판매종료
3129,락 뮤지컬 〈프리즌〉,뮤지컬,이수아트홀(대학로)(자세히),2019.05.13 ~2019.12.29,만 7세이상,2019.05.13 ~2019.12.29,8,17.8%,82.2%,12.4%,17.8%,25.2%,31.2%,9.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006822,판매종료
3130,뮤지컬 〈니진스키〉 쇼케이스 - Вставай ‘깨어나’,뮤지컬,KT＆G 상상마당 대치아트홀(자세히),2019.05.13,중학생이상 관람가,2019.05.13,10,1.9%,98.1%,5.2%,50.1%,35.8%,6.3%,1.7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006957,판매종료
3131,가족뮤지컬 “아기돼지삼형제” - 남양주,뮤지컬,다산아트홀(자세히),2019.05.12,전체관람가,2019.05.12,,18.4%,81.6%,0%,2%,83.7%,14.3%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006179,판매종료
3132,［양평］가족공룡뮤지컬！포켓다이노,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19003560,판매취소
3133,어린이뮤지컬 “렛잇고” - 아산,뮤지컬,아산시 평생학습관(구관) 1층 아산아트홀(자세히),2019.05.12,24개월이상 관람가능,2019.05.12,,11.6%,88.4%,0%,9.3%,74.4%,16.3%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005424,판매종료
3134,가족뮤지컬 “캐릭터프린세스” - 강릉,뮤지컬,강릉문화원(자세히),2019.05.12,전체관람가,2019.05.12,,10%,90%,0%,0%,100%,0%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006106,판매종료
3135,뮤지컬 신비아파트 시즌2 - 제주,뮤지컬,제주 한라아트홀(자세히),2019.05.11 ~2019.05.12,24개월이상 관람가능,2019.05.11 ~2019.05.12,7,20.5%,79.5%,0.3%,5.9%,68.1%,24.1%,1.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19003193,판매종료
3136,어린이뮤지컬 〈출동！슈퍼윙스〉 - 파라오를 찾아서！- 군포,뮤지컬,군포문화예술회관 철쭉홀(자세히),2019.05.11 ~2019.05.12,전체관람가,2019.05.11 ~2019.05.12,5,20.7%,79.3%,0%,3.3%,77.6%,18.1%,0.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19004966,판매종료
3137,뮤지컬 헬로카봇 시즌4 〈찌릿찌릿 전기 대 소동〉 - 전주,뮤지컬,한국소리문화의전당 모악당(자세히),2019.05.11 ~2019.05.12,24개월이상 관람가능,2019.05.11 ~2019.05.12,5,23.8%,76.3%,0%,6%,75.5%,16.8%,1.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19003570,판매종료
3138,가족뮤지컬 〈라푼젤-대구〉,뮤지컬,대구 신세계백화점 8층 문화홀(자세히),2019.05.11 ~2019.05.12,24개월이상 관람가능,2019.05.11 ~2019.05.12,3,19%,81%,0%,1.7%,79.3%,19%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005499,판매종료
3139,［창원］더 뮤지컬 〈런닝맨〉 - 마지막 승자,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19004524,판매취소
3140,(2019 어린이율동놀이뮤지컬) 호비쇼 - 영등포,뮤지컬,영등포아트홀(자세히),2019.05.11 ~2019.05.12,전체관람가,2019.05.11 ~2019.05.12,1,14.9%,85.1%,0%,2.3%,81.3%,15.9%,0.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19000770,판매종료
3141,어린이 베스트셀러 뮤지컬〈누가 내머리에 똥 쌌어?-부산〉,뮤지컬,부산금정문화회관 대공연장(자세히),2019.05.11 ~2019.05.12,24개월이상 관람가능,2019.05.11 ~2019.05.12,1,7.6%,92.4%,0%,1.7%,72.9%,24.6%,0.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19001498,판매종료
3142,2019＂어린이가족뮤지컬＂캐릭터프린세스＂- 속초,뮤지컬,속초문화예술회관 대강당(자세히),2019.05.11,전체관람가,2019.05.11,2,14.3%,85.7%,0%,1.6%,71.4%,27%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19000965,판매종료
3143,어린이뮤지컬 “렛잇고” - 서울(도봉),뮤지컬,도봉구민회관 대강당(자세히),2019.05.11,24개월이상 관람가능,2019.05.11,1,20.6%,79.4%,0%,3.1%,67.9%,28.2%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19003017,판매종료
3144,“2019년” 가족뮤지컬 겨울왕국시즌2 - 춘천,뮤지컬,춘천인형극장 대극장(자세히),2019.05.11,전체관람가,2019.05.11,1,29%,71%,0%,5.6%,75.7%,15.9%,1.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005084,판매종료
3145,［포천］가족공룡뮤지컬！포켓다이노,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19003566,판매취소
3146,2019 가족뮤지컬 알라딘-서산,뮤지컬,서산문화원(자세히),2019.05.11,24개월이상 관람가능,2019.05.11,,31.6%,68.4%,0%,5.3%,68.4%,21.1%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006111,판매종료
3147,뮤지컬〈은밀하게 위대하게〉- 김해,뮤지컬,김해서부문화센터 하늬홀(자세히),2019.05.10 ~2019.05.26,8세이상 관람가능,2019.05.10 ~2019.05.26,15,15.8%,84.2%,8.9%,24.7%,33.2%,28.6%,4.3%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19001230,판매종료
3148,［대구］ 뮤지컬 〈신흥무관학교〉,뮤지컬,수성아트피아 용지홀(자세히),2019.05.10 ~2019.05.12,만 7세이상,2019.05.10 ~2019.05.12,30,7.2%,92.8%,7.3%,39.1%,34%,13.9%,4.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005426,판매종료
3149,창작뮤지컬 〈비커밍맘 시즌2〉,뮤지컬,백암아트홀(자세히),2019.05.10 ~2019.05.12,만 7세이상,2019.05.10 ~2019.05.12,2,23.1%,76.9%,1.9%,11.1%,39.8%,18.5%,27.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005410,판매종료
3150,NEW 뮤지컬 치링치링 시크릿쥬쥬 - 안산,뮤지컬,안산문화예술의전당 해돋이극장(자세히),2019.05.10 ~2019.05.11,24개월이상 관람가능,2019.05.10 ~2019.05.11,8,20.1%,79.9%,0%,4.9%,80.3%,12.3%,1.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005825,판매종료
3151,뮤지컬 〈어린이 캣〉 - 여주,뮤지컬,세종국악당(자세히),2019.05.10 ~2019.05.11,48개월이상 관람가능,2019.05.10 ~2019.05.11,6,13.3%,86.7%,0%,0%,60.2%,39.8%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005186,판매종료
3152,뮤지컬 〈미아 파밀리아〉 쇼케이스,뮤지컬,CJ아지트 대학로(자세히),2019.05.10,만 13세이상,2019.05.10,3,2.3%,97.7%,4.7%,40.3%,45.7%,9.3%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19007071,판매종료
3153,뮤지컬 레미제라블 탄생 40주년 프랑스 오리지널팀 내한 콘서트,뮤지컬,경희대학교 평화의전당(자세히),2019.05.08 ~2019.05.15,만 7세이상,2019.05.08 ~2019.05.15,148,29.1%,70.9%,5.5%,35.1%,30.1%,21.4%,7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005298,판매종료
3154,가족뮤지컬 〈프린세스마리〉,뮤지컬,목동 방송회관 2층 코바코홀(자세히),2019.05.05 ~2019.06.16,24개월이상 관람가능,2019.05.05 ~2019.06.16,1,22.4%,77.6%,0%,2%,63.2%,33.6%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005078,판매종료
3155,［수원］가족동물뮤지컬：워킹공룡애니멀매직쇼,뮤지컬,장안구민회관 한누리아트홀(자세히),2019.05.05,전체관람가,2019.05.05,,34.5%,65.5%,0%,3.4%,79.3%,17.2%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19002126,판매종료
3156,어린이뮤지컬 빨간모자,뮤지컬,대학로 명작극장 2관(자세히),2019.05.04 ~2019.08.31,24개월이상 관람가능,2019.05.04 ~2019.08.31,1,10%,90%,0%,20%,70%,10%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006911,판매종료
3157,가족뮤지컬 〈어린왕자〉,뮤지컬,예림당아트홀(자세히),2019.05.04 ~2019.06.30,24개월이상 관람가능,2019.05.04 ~2019.06.30,19,22.5%,77.5%,0%,3.1%,45%,51.1%,0.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18008424,판매종료
3158,감성복구 뮤지컬 〈창문너머 어렴풋이〉,뮤지컬,성수아트홀(자세히),2019.05.04 ~2019.06.02,만 7세이상,2019.05.04 ~2019.06.02,7,17.3%,82.7%,0.4%,41.8%,38.2%,15.3%,3.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19004531,판매종료
3159,뮤지컬 〈영웅〉 10주년 기념공연 - 성남,뮤지컬,성남아트센터 오페라하우스(자세히),2019.05.04 ~2019.05.12,만 7세이상,2019.05.04 ~2019.05.12,34,32.1%,67.9%,3%,25.4%,31.6%,33.5%,5.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005013,판매종료
3160,NEW 뮤지컬 치링치링 시크릿쥬쥬 - 대구(앵콜공연),뮤지컬,대구아양아트센터(자세히),2019.05.04 ~2019.05.06,12개월이상 관람가능,2019.05.04 ~2019.05.06,15,24.3%,75.7%,0%,6%,73.3%,19.5%,0.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19001930,판매종료
3161,가족라이브뮤지컬 〈벌거 벗은 임금님 - 대구〉,뮤지컬,대구 신세계백화점 8층 문화홀(자세히),2019.05.04 ~2019.05.06,24개월이상 관람가능,2019.05.04 ~2019.05.06,3,20.8%,79.2%,0%,0%,73.6%,24.5%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19004787,판매종료
3162,(2019 창원) 뮤지컬 신비아파트 시즌2,뮤지컬,KBS 창원홀(자세히),2019.05.04 ~2019.05.05,24개월이상 관람가능,2019.05.04 ~2019.05.05,39,24.4%,75.6%,0.2%,2.6%,73.4%,22.8%,0.5%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19000922,판매종료
3163,뮤지컬 〈신흥무관학교〉 - 광주,뮤지컬,광주문화예술회관 대극장(자세히),2019.05.04 ~2019.05.05,8세이상 관람가능,2019.05.04 ~2019.05.05,28,10.2%,89.8%,10.9%,40.3%,27.2%,16.1%,4.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005251,판매종료
3164,(2019 부산) NEW 뮤지컬 콩순이 〈아빠랑 캠핑가요!〉,뮤지컬,KBS부산홀(자세히),2019.05.04 ~2019.05.05,20개월이상 관람가능,2019.05.04 ~2019.05.05,27,20.6%,79.4%,0.2%,5.8%,79.9%,12.9%,0.5%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=18015514,판매종료
3165,뮤지컬 헬로카봇 시즌4〈찌릿찌릿 전기 대소동〉- 고양,뮤지컬,고양 어울림누리 어울림극장(자세히),2019.05.04 ~2019.05.05,24개월이상 관람가능,2019.05.04 ~2019.05.05,10,26.1%,73.9%,0.2%,4%,79.2%,16.4%,0.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19001468,판매종료
3166,(2019 어린이율동놀이뮤지컬) 호비쇼 - 부산,뮤지컬,부산시민회관 소극장(자세히),2019.05.04 ~2019.05.05,전체관람가,2019.05.04 ~2019.05.05,4,10.3%,89.8%,0%,5.3%,81.8%,12.5%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19000919,판매종료
3167,가족뮤지컬［바다탐험대 옥토넛 - 불가사리의 모험］- 거제,뮤지컬,거제문화예술회관 소극장(자세히),2019.05.04 ~2019.05.05,24개월이상 관람가능,2019.05.04 ~2019.05.05,2,20.8%,79.2%,0%,4.8%,78.4%,16%,0.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19002536,판매종료
3168,［인천］가족뮤지컬 〈우리 아빠가 최고야〉,뮤지컬,인천문화예술회관 소공연장(자세히),2019.05.04 ~2019.05.05,전체관람가,2019.05.04 ~2019.05.05,1,20.5%,79.5%,0.8%,0.8%,74%,21.3%,2.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19001851,판매종료
3169,싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉- 창원,뮤지컬,창원 성산아트홀 소극장(자세히),2019.05.04 ~2019.05.05,전체관람가,2019.05.04 ~2019.05.05,1,16.5%,83.5%,0%,2.2%,73.4%,22.3%,0.7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19002188,판매종료
3170,어린이뮤지컬 “렛잇고” - 구미,뮤지컬,구미문화예술회관 대공연장(자세히),2019.05.04 ~2019.05.05,24개월이상 관람가능,2019.05.04 ~2019.05.05,1,24.8%,75.2%,0%,7.7%,74.3%,16.7%,0.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19003012,판매종료
3171,가족뮤지컬〈프린세스마리〉 - 광주,뮤지컬,광주5.18기념문화센터 민주홀(자세히),2019.05.04 ~2019.05.05,전체관람가,2019.05.04 ~2019.05.05,1,26.8%,73.2%,0%,2.8%,62%,31%,2.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19003572,판매종료
3172,뮤지컬 세계문명탐험대 ‘태양의 나라 이집트’ - 광주,뮤지컬,빛고을 시민문화관(자세히),2019.05.04 ~2019.05.05,24개월이상 관람가능,2019.05.04 ~2019.05.05,1,17.1%,82.9%,0%,1.3%,69.7%,28.9%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19002467,판매종료
3173,어린이날가족뮤지컬 “아기돼지삼형제” - 부천,뮤지컬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19004297,판매취소
3174,2019년 어린이날 특집가족뮤지컬 “백설공주와일곱난장이” - 제주,뮤지컬,제주아트센터(자세히),2019.05.04 ~2019.05.05,24개월이상 관람가능,2019.05.04 ~2019.05.05,,28.8%,71.2%,0%,4.1%,70.6%,22.9%,1.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19000904,판매종료
3175,어린이베스트셀러뮤지컬 책먹는여우 - 아산,뮤지컬,아산시청 시민홀(자세히),2019.05.04,24개월이상 관람가능,2019.05.04,2,16.1%,83.9%,0%,0.9%,70%,27.2%,1.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005468,판매종료
3176,［용인］가족공룡뮤지컬！포켓다이노,뮤지컬,용인문화예술원 마루홀(자세히),2019.05.04,전체관람가,2019.05.04,1,30%,70%,0%,8%,70%,20%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19002132,판매종료
3177,2019 가족뮤지컬 피노키오 - 인천,뮤지컬,인천계양문화회관 대공연장(자세히),2019.05.04,24개월이상 관람가능,2019.05.04,,22.9%,77.1%,0%,0%,54.3%,45.7%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005671,판매종료
3178,가족뮤지컬 “캐릭터프린세스” - 청주,뮤지컬,청주아트홀(구.청주시민회관)(자세히),2019.05.04,전체관람가,2019.05.04,,22.2%,77.8%,0%,5.6%,77.8%,11.1%,5.6%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005967,판매종료
3179,어린이뮤지컬 북극여우 까망이 - 부산,뮤지컬,부산 북구 문화빙상센터 공연장(자세히),2019.05.03 ~2019.05.05,24개월이상 관람가능,2019.05.03 ~2019.05.05,1,12.2%,87.8%,0%,2%,53.1%,44.9%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006100,판매종료
3180,(2019 대구 대백프라자) 어린이뮤지컬［올라프의 해피페스티벌］,뮤지컬,대백프라자 10층 프라임홀(자세히),2019.05.03 ~2019.05.05,전체관람가,2019.05.03 ~2019.05.05,,18.8%,81.3%,0%,6.3%,81.3%,12.5%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005649,판매종료
3181,뮤지컬 〈메노포즈〉 인천,뮤지컬,인천문화예술회관 대공연장(자세히),2019.05.03 ~2019.05.04,만 12세이상,2019.05.03 ~2019.05.04,2,14.2%,85.8%,0%,23.7%,31.8%,26.5%,12.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19004347,판매종료
3182,어린이베스트셀러뮤지컬 책먹는여우 - 오산,뮤지컬,오산문화예술회관 대공연장(자세히),2019.05.03,전체관람가,2019.05.03,,33.3%,66.7%,0%,0%,0%,100%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005175,판매종료
3183,홀로그램 뮤지컬 인형극〈어린왕자의 선물〉-광주,전시/행사,홀로그램 극장 광주(자세히),2019.05.02 ~2019.05.31,24개월이상 관람가능,2019.05.02 ~2019.05.31,,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006524,판매종료
3184,어린이 홀로그램 뮤지컬 〈메이플 스토리〉 - 광주,전시/행사,홀로그램 극장 광주(자세히),2019.05.02 ~2019.05.31,24개월이상 관람가능,2019.05.02 ~2019.05.31,,NA,NA,NA,NA,NA,NA,NA,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006506,판매종료
3185,어린이 뮤지컬 토끼의 이솝여행기 - 부산,뮤지컬,가온아트홀(자세히),2019.05.02 ~2019.05.05,전체관람가,2019.05.02 ~2019.05.05,,0%,100%,0%,0%,100%,0%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006954,판매종료
3186,힐링코미디뮤지컬〈라면에 파송송〉,뮤지컬,대학로 한성아트홀 2관(자세히),2019.05.01 ~2019.09.30,만 10세이상,2019.05.01 ~2019.09.30,3,32.1%,67.9%,4.7%,20.7%,22.3%,46.1%,5.7%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006446,판매종료
3187,어린이 뮤지컬 “잠자는 숲속의 공주” - 대전,뮤지컬,갤러리아 타임월드 10층 공연장(자세히),2019.05.01 ~2019.05.26,전체관람가,2019.05.01 ~2019.05.26,2,28.6%,71.4%,0%,7.9%,73%,14.3%,4.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006837,판매종료
3188,어린이 뮤지컬 “아기돼지 삼형제” - 대전,뮤지컬,조이마루아트홀(자세히),2019.05.01 ~2019.05.26,전체관람가,2019.05.01 ~2019.05.26,1,25.2%,74.8%,0%,6.5%,79.4%,11.2%,0.9%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006596,판매종료
3189,어린이뮤지컬 “우렁이색시”-인천부평,뮤지컬,인천 레미어린이극장(자세히),2019.05.01 ~2019.05.26,전체관람가,2019.05.01 ~2019.05.26,,25%,75%,0%,0%,75%,25%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006895,판매종료
3190,어린이뮤지컬 “보물섬”-서울금천,뮤지컬,"빅마켓(구,롯데마트 금천점)3층 레미어린이극장(자세히)",2019.05.01 ~2019.05.25,전체관람가,2019.05.01 ~2019.05.25,,21.4%,78.6%,0%,7.1%,42.9%,50%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006556,판매종료
3191,어린이 과학 뮤지컬 〈우리 동네 도깨비〉,뮤지컬,구로아트밸리 예술극장(자세히),2019.05.01 ~2019.05.06,48개월이상 관람가능,2019.05.01 ~2019.05.06,1,21.6%,78.4%,1.4%,14.9%,39.2%,43.2%,1.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005260,판매종료
3192,어린이뮤지컬 “렛잇고” - 강동,뮤지컬,강동구민회관 대강당(자세히),2019.05.01,24개월이상 관람가능,2019.05.01,1,26.8%,73.2%,0%,1.8%,82.1%,16.1%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005004,판매종료
3193,ALL NEW! 뮤지컬 〈그리스〉,뮤지컬,디큐브아트센터(자세히),2019.04.30 ~2019.08.11,8세이상 관람가능,2019.04.30 ~2019.08.11,269,22.6%,77.4%,3.5%,32.9%,31.4%,23.7%,7.4%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19002274,판매종료
3194,어린이뮤지컬 “혹부리 할아버지” - 광주 월드컵,뮤지컬,롯데마트 월드컵점(풍암동) 3층 레미어린이극장(자세히),2019.04.30 ~2019.05.25,전체관람가,2019.04.30 ~2019.05.25,1,30%,70%,0%,5%,80%,15%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006910,판매종료
3195,어린이뮤지컬 “알리바바와 도둑들” - 울산,뮤지컬,울산 레미어린이극장(자세히),2019.04.30 ~2019.05.25,전체관람가,2019.04.30 ~2019.05.25,,23.1%,76.9%,0%,0%,76.9%,15.4%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006678,판매종료
3196,［젊은국악오디션 단장］〈국악뮤지컬 신나는 빨강모자와 친구들〉-극단깍두기,뮤지컬,서울남산국악당 크라운해태홀(자세히),2019.04.30 ~2019.05.01,36개월이상 관람가능,2019.04.30 ~2019.05.01,1,14.5%,85.5%,0%,4.3%,58%,33.3%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19004397,판매종료
3197,"［청주,세종］어린이가족뮤지컬 아기돼지 삼형제",뮤지컬,소극장 쇠내골(자세히),2019.04.28 ~2019.06.05,24개월이상 관람가능,2019.04.28 ~2019.06.05,,40%,60%,0%,0%,70%,30%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006451,판매종료
3198,뮤지컬 〈차미：리부트〉 트라이아웃,뮤지컬,우란2경(자세히),2019.04.28 ~2019.04.30,만 7세이상,2019.04.28 ~2019.04.30,8,1.9%,98.1%,2.7%,52.3%,41.2%,1.9%,0.8%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19006329,판매종료
3199,2019＂어린이가족뮤지컬＂캐릭터프린세스＂- 평택북부,뮤지컬,평택북부문예회관(송탄)(자세히),2019.04.28,전체관람가,2019.04.28,,36.4%,63.6%,0%,9.1%,54.5%,27.3%,9.1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19002915,판매종료
3200,［대구］가족공룡뮤지컬！포켓다이노,뮤지컬,달성문화원(자세히),2019.04.28,전체관람가,2019.04.28,1,21.1%,78.9%,0%,0%,84.2%,15.8%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005989,판매종료
3201,2019＂어린이가족뮤지컬＂아기돼지삼형제＂- 양산,뮤지컬,웅상문화체육센터 공연장(자세히),2019.04.28,전체관람가,2019.04.28,,14.3%,85.7%,0%,7.1%,85.7%,7.1%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19003843,판매종료
3202,2019 가족뮤지컬 인어공주 - 서산,뮤지컬,서산문화회관 대공연장(자세히),2019.04.28,24개월이상 관람가능,2019.04.28,,38.2%,61.8%,0%,5.3%,75%,18.4%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005062,판매종료
3203,"어린이날 기념 특가！9,000원 뮤지컬 “헨젤과그레텔” - 제주",뮤지컬,설문대여성문화센터(자세히),2019.04.28,24개월이상 관람가능,2019.04.28,,20.8%,79.2%,1.4%,1.4%,58.3%,38.9%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19005768,판매종료
3204,(2019 전주) 뮤지컬 신비아파트 시즌2,뮤지컬,전북대 삼성문화회관 대공연장(자세히),2019.04.27 ~2019.04.28,24개월이상 관람가능,2019.04.27 ~2019.04.28,27,26.2%,73.8%,0.6%,4.9%,67.2%,25.5%,1%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19000323,판매종료
3205,어린이뮤지컬 〈출동！슈퍼윙스〉 - 파라오를 찾아서！- 광주,뮤지컬,광주5.18기념문화센터 민주홀(자세히),2019.04.27 ~2019.04.28,24개월이상 관람가능,2019.04.27 ~2019.04.28,7,25.4%,74.6%,0%,3.7%,83.6%,11.1%,1.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19003115,판매종료
3206,［여수］싱어롱 콘서트 뮤지컬 ‘Live Show’〈무지개 물고기〉,뮤지컬,예울마루 소극장(자세히),2019.04.27 ~2019.04.28,24개월이상 관람가능,2019.04.27 ~2019.04.28,2,19.9%,80.1%,0%,2.4%,71.1%,24.1%,1.2%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19001707,판매종료
3207,어린이 가족 뮤지컬 - 누가 내머리에 똥샀어？〈대구〉,뮤지컬,웃는얼굴아트센터 청룡홀(자세히),2019.04.27 ~2019.04.28,24개월이상 관람가능,2019.04.27 ~2019.04.28,1,12.8%,87.2%,0%,0%,77.9%,22.1%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19000738,판매종료
3208,어린이뮤지컬 “렛잇고”-부천중동,뮤지컬,롯데백화점 중동점 10층 문화홀(자세히),2019.04.27 ~2019.04.28,24개월이상 관람가능,2019.04.27 ~2019.04.28,,23.5%,76.5%,0%,0%,94.1%,5.9%,0%,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=19004996,판매종료
